Rank,Artist,Title
1,Issam Alnajjar,Hadal Ahbek
2,Asim Azhar & Zenab Fatimah Sultan,"Ghalat Fehmi (From Superstar"")"""
3,Gym Class Heroes Feat. Adam Levine,Stereo Hearts
4,Masked Wolf,Astronaut In The Ocean
5,Arijit Singh & Harshdeep Kaur,Zaalima
6,Anirudh Ravichander & Bjorn Surrao,"Master the Blaster (From Master"")"""
7,SZA & Justin Timberlake,The Other Side
8,Pháo,2 Phút Hơn [KAIZ Remix]
9,Olivia Rodrigo,drivers license
10,CJ,Whoopty
11,Aya Nakamura,Copines
12,Eduardo Luzquiños & EZRA,Yrn (Remix)
13,Andro,Иса
14,David Guetta,Hey Mama (Ers Remix)
15,Boney M.,Rasputin
16,MLR Karthikeyan & Anitha,"Hey Vaada Vaada (From Kacheri Aarambam"")"""
17,Rauf & Faik,Это Ли Счастье?
18,Aaron Smith Feat. Luvli,Dancin (Krono Remix)
19,Otnicka,Peaky Blinder
20,Jecin George & Pearle Maaney Feat. Srinish Aravind,Chellakuttiye (Avastha Love Song)
21,Avicii,The Nights
22,"AP Dhillon, Gminxr, Gurinder Gill & Shinda Kahlon",Brown Munde
23,Witt Lowry Feat. Ava Max,Into Your Arms
24,Yo Yo Honey Singh Feat. Neha Kakkar,Saiyaan Ji
25,vishav sohi,Guiltyt By Karan Aujla
26,Paul Anka,Put Your Head On My Shoulder
27,Kaito Shoma & DJ Paul,Scary Garry
28,Adaab Kharound Feat. Kaka,Temporary Pyar
29,Otnicka,Where Are You
30,Miyagi & Намо Миниган,Бада Бум
31,Harnoor,Waalian
32,Sachet-Parampara & Parampara Tandon,Chhor Denge
33,Jvla,Such a Whore (Stellular Remix)
34,Hippie Sabotage,Devil Eyes
35,The Weeknd,Often (Kygo Remix)
36,SAINt JHN,Roses (Imanbek Remix)
37,Kaka,Libaas
38,İsyan Tetick,Patlamaya Devam
39,BASSTEROID,Somebody To Love (Rework)
40,Soner Karaca,Marriage
41,DJ Kantik,Our Streets
42,Escape,Цунами
43,Sidhu Moose Wala Feat. Bohemia,Ajj Kal
44,Arijit Singh & Harshdeep Kaur,Zaalima
45,Sajeer Koppam,Athmavile Anandhame
46,Rochak Kohli & Jubin Nautiyal,Bewafa Tera Masoom Chehra
47,Kaleo,Way Down We Go
48,Willy William,Ego
49,Kina Feat. Adriana Proenza,Can We Kiss Forever?
50,Afsana Khan Feat. Harrdy Sandhu & Sargun Mehta,Titliaan
51,Willy William Feat. Cris Cab,Paris
52,Jon Bellion,All Time Low
53,Halsey,New Americana
54,Pham Feat. Yung Fusion,Movements
55,Dj Wayn,Va Va Vroum Vroum
56,DHARIA,August Diaries
57,Serhat Durmus Feat. Zerrin,Hislerim
58,Nish,Standing By You
59,Zeuz,Michael Rapson
60,Arijit Singh,Jaan 'Nisaar (Arijit Version)
61,Olivia Dean,Echo
62,347aidan,Dancing in My Room
63,Randall,Wahran
64,kaka,Tiji Seat
65,Fousheé,Deep End
66,Melanie Martinez,Play Date
67,Anirudh Ravichander,Surviva (feat. Yogi B & Mali Manoj)
68,Sub Urban,Cradles
69,ALEX&RUS,Дикая Львица
70,Capone,Streets Favorite
71,Sunil Kamath,Kinna Sona
72,"DJ Chetas, DJ Lijo & Rochak Kohli",Dil Na Jaaneya Remix by DJ Chetas & DJ Lijo
73,Jah Khalib,Лейла (VManMusic Remix)
74,The Weeknd,Blinding Lights
75,Roddy Ricch,The Box
76,JONY,Love Your Voice
77,Starla Edney,Queen of Hearts
78,Arijit Singh,Mast Magan
79,Arijit Singh,Kalank (Title Track)
80,Groove Delight & Samantha Machado,Peter Pan
81,Jakes Bejoy Feat. Jos Jossey,Kalki [Revisted Theme]
82,Arijit Singh,Tamasha
83,Billie Eilish & Khalid,Lovely
84,Major Lazer Feat. Nucleya & Rashmeet Kaur,Jadi Buti
85,JayB Singh,Chamqila Drip
86,Kim Dracula,Paparazzi
87,Marwa Loud,Bad Boy
88,Saad Lamjarred,Ghazali
89,Anirudh Ravichander & Shakthisree Gopalan,"Yaanji (From Vikram Vedha"")"""
90,Anirudh Ravichander & Gana Balachandar,"Vaathi Coming (From Master"")"""
91,Otilia,Bilionera
92,The Kid LAROI,WITHOUT YOU
93,Cardi B & Bad Bunny & J Balvin,I Like It
94,Dhvani Bhanushali & Jubin Nautiyal,Nayan
95,Achint Thakkar,Scam 1992 Theme Music
96,Lost Sky & Chris Linton,Fearless Pt. II
97,DHARIA,Sugar & Brownies
98,Elee Bermudez,Awake
99,Bazanji,Fed Up
100,Cosculluela,Prrrum
101,David Guetta Feat. Nicki Minaj & Bebe Rexha & Afrojack,Hey Mama
102,CVRTOON,Plevne VIP
103,BrainDeaD,Boom Shakalarma
104,Megan Thee Stallion,Body
105,DIVINE,3:59 AM
106,HVME,Goosebumps
107,24kGoldn Feat. iann dior,Mood
108,Ember Island & The White Panda,Umbrella (The White Panda Remix)
109,Erica Banks,Buss It
110,Harib Hussain & Megha Josekutty,Aaranu Nee
111,Chester Young & Castion,Pyro
112,Reyanna Maria & Kato On The Track,4 My Shy Girls (And Boys)
113,Yo Yo Honey Singh & Hommie Dilliwala,Jingle Bell
114,Wiz Khalifa Feat. Charlie Puth,See You Again
115,Marcelo D2 & Claudia,Desabafo/Deixa Eu Dizer
116,XXXTENTACION,Hope
117,Karan Aujla,Hukam
118,Doja Cat,Streets
119,Гио Пика,Фонтанчик с дельфином (Adam Maniac & Imanbek Remix)
120,Dirty Heads,Vacation
121,Mahesh Raghvan,Harry Potter (The Ultimate Indian Theme)
122,Alec Benjamin,Let Me Down Slowly
123,Labrinth,Still Don't Know My Name
124,Leka el Poeta Feat. Michel Master Boy,Ella Quiere Hmm... Haa... Hmm (Desckom Remix)
125,Alka Yagnik,Tum Sath Ho
126,Arun Chiluveru & Sid Sriram Feat. Aadi & Surbhi Puranik,"Okey Oka Lokam [From Sashi""]"""
127,Shrey Singhal,Fallin for You
128,Sandeep Surila,Kamar Teri Left Right Hale
129,Trap Calin,La Calin (Call Me)
130,Bad Style,Time Back
131,Justin Timberlake Feat. Timbaland,Sexyback
132,Pascal Letoublon,Friendships
133,Else,Paris
134,Rauf & Faik,Я Люблю Тебя Давно (Remix)
135,Miyagi & Andy Panda,Kosandra (Adam Maniac Remix)
136,Hiphop Tamizha & Kaushik Krish & Padmalatha,"Kannala Kannala (From Thani Oruvan"";The Melting Point Of Love)"""
137,Trusha Rami & Umesh Barot,Kalo Bhammariyalo
138,Tesher,Jalebi Baby
139,The Prince Karma,Later Bitches
140,Yo Yo Honey Singh & Ipsitaa,First Kiss
141,Lucky Luke & Emie,Drüg
142,Becky G,Shower
143,Erfan Z,Unsound
144,JONY & HammAli & Navai,Без тебя я не я
145,AP Dhillon,Kaafle
146,Darsh Dhaliwal Feat. Gurlej Akhtar,Area De Jatt
147,Kaka,Temporary Pyar
148,Duncan Laurence,Arcade
149,Akhil,Khaab
150,Renuka Panwar & MJ,52 Gaj Ka Daman
151,KSHMR & Lost Stories Feat. Kavita Seth,Bombay Dreams
152,Migos,"Is You Ready (From Mile 22"")"""
153,Tommee Profitt Feat. Fleurie & Jung Youth,In The End
154,Trevor Daniel,Falling
155,NK,Elefante
156,White Town,Your Woman
157,Aditya Jhorar,So High
158,Aywy. & EphRem,Adderall
159,CVRTOON,Plevne
160,Macklemore & Ryan Lewis Feat. Wanz,Thrift Shop
161,Jetta,I'd Love To Change The World (Matstubs Remix)
162,Dr. Dre Feat. Snoop Dogg,Still D.R.E.
163,Gidayyat,Сомбреро
164,The Strumbellas,Spirits
165,Kaka,Bholenath (A Love Story)
166,Akull,Faraar
167,AP Dhillon & Gurinder Gill & Money Musik,Foreigns
168,Rauf & Faik,Детство
169,Shakthishree Gopalan & Md. Maqbool Mansoor,"Pularikalo (From Charlie"")"""
170,Stromae,Alors On Danse
171,Twenty One Pilots,Stressed Out
172,Jon Persitz,Twerky
173,Amorf,Çöl
174,Sukh Lotey,Rayban
175,Carla Morrison,Disfruto (Audioiko Remix)
176,Gur Sidhu & Gurlez Akhtar,Vaddi Galbaat
177,Saad Lamjarred,Mal Hbibi
178,Serena,Safari
179,Ro Ransom,See Me Fall (Y2k Remix)
180,Sachet-Parampara & Guru Randhawa,Mehendi Wale Haath
181,Sia,Snowman
182,Serhat Durmus Feat. Ecem Telli,Yalan
183,TRFN Feat. Siadou,U Do
184,Pritam & Arijit Singh,"Aabaad Barbaad (From Ludo"")"""
185,Harsh Ben,Sochta Hun Wo Kitnay Masoom Thay
186,Anirudh Ravichander & Mayukh,Letha Letha Gundelu
187,ZAYN Feat. Sia,Dusk Till Dawn
188,Anirudh Ravichander & Santhosh Narayanan,Polakattum Para Para
189,Baby Bash,Suga Suga
190,Nithin Vikash,Uyirin Uyire (Unplugged)
191,Ed Sheeran,Perfect
192,Liu & Gen-X,Pirate
193,MEMBA & EVAN GIIA Feat. Nooran Sisters,"For Aisha (Featured In The Sky Is Pink"")"""
194,The Weeknd,Save Your Tears
195,Tulsi Kumar & Jubin Nautiyal,Pehle Pyaar Ka Pehla Gham
196,Khan Bhaini Feat. Shipra Goyal,Lamborghini
197,Anirudh Ravichander,"Kanave Kanave (From David"")"""
198,Future,Mask Off
199,Neha Kakkar & Jubin Nautiyal,Taaron Ke Shehar
200,CVRTOON,Plevne